Datetime;target
2026-06-25 03:00:00;201.49039
2026-06-25 04:00:00;200.46284
2026-06-25 05:00:00;203.6389
2026-06-25 06:00:00;220.43254
2026-06-25 07:00:00;247.59544
2026-06-25 08:00:00;275.17664
2026-06-25 09:00:00;288.96262
2026-06-25 10:00:00;297.37927
2026-06-25 11:00:00;300.47665
2026-06-25 12:00:00;296.56842
2026-06-25 13:00:00;296.36795
2026-06-25 14:00:00;293.72992
2026-06-25 15:00:00;291.00052
2026-06-25 16:00:00;284.5927
2026-06-25 17:00:00;281.1247
2026-06-25 18:00:00;277.89987
2026-06-25 19:00:00;271.7274
2026-06-25 20:00:00;263.50925
2026-06-25 21:00:00;262.85263
2026-06-25 22:00:00;260.3523
2026-06-25 23:00:00;254.27766
2026-06-26 00:00:00;235.06067
2026-06-26 01:00:00;218.38219
2026-06-26 02:00:00;207.2759
2026-06-26 03:00:00;203.20036
2026-06-26 04:00:00;202.51039
2026-06-26 05:00:00;205.85648
2026-06-26 06:00:00;223.14214
2026-06-26 07:00:00;250.22656
2026-06-26 08:00:00;276.6305
2026-06-26 09:00:00;290.341
2026-06-26 10:00:00;297.5114
2026-06-26 11:00:00;301.46835
2026-06-26 12:00:00;296.7939
2026-06-26 13:00:00;297.39362
2026-06-26 14:00:00;295.4406
2026-06-26 15:00:00;294.40433
2026-06-26 16:00:00;288.1521
2026-06-26 17:00:00;283.09814
2026-06-26 18:00:00;280.5814
2026-06-26 19:00:00;274.85788
2026-06-26 20:00:00;266.58682
2026-06-26 21:00:00;264.195
2026-06-26 22:00:00;262.40228
2026-06-26 23:00:00;254.30109
2026-06-27 00:00:00;234.96227
2026-06-27 01:00:00;219.1892
2026-06-27 02:00:00;206.60522
2026-06-27 03:00:00;202.25458
2026-06-27 04:00:00;200.75266
2026-06-27 05:00:00;201.71884
2026-06-27 06:00:00;216.71896
2026-06-27 07:00:00;239.64946
2026-06-27 08:00:00;266.79318
2026-06-27 09:00:00;281.39746
2026-06-27 10:00:00;282.80966
2026-06-27 11:00:00;282.70593
2026-06-27 12:00:00;278.18057
2026-06-27 13:00:00;276.32227
2026-06-27 14:00:00;273.8041
2026-06-27 15:00:00;273.27298
2026-06-27 16:00:00;271.7701
2026-06-27 17:00:00;271.07288
2026-06-27 18:00:00;270.09003
2026-06-27 19:00:00;262.753
2026-06-27 20:00:00;253.86841
2026-06-27 21:00:00;257.32678
2026-06-27 22:00:00;256.90884
2026-06-27 23:00:00;253.77121
2026-06-28 00:00:00;236.30704
2026-06-28 01:00:00;219.29408
2026-06-28 02:00:00;206.54967
2026-06-28 03:00:00;202.94603
2026-06-28 04:00:00;201.42307
2026-06-28 05:00:00;202.34479
2026-06-28 06:00:00;212.1505
2026-06-28 07:00:00;232.27234
2026-06-28 08:00:00;255.17888
2026-06-28 09:00:00;269.81287
2026-06-28 10:00:00;273.7388
2026-06-28 11:00:00;272.23904
2026-06-28 12:00:00;269.56345
2026-06-28 13:00:00;267.09448
2026-06-28 14:00:00;264.99484
2026-06-28 15:00:00;262.411
2026-06-28 16:00:00;262.17792
2026-06-28 17:00:00;257.86975
2026-06-28 18:00:00;251.32457
2026-06-28 19:00:00;243.15283
2026-06-28 20:00:00;241.6115
2026-06-28 21:00:00;243.96864
2026-06-28 22:00:00;243.95444
2026-06-28 23:00:00;242.734
2026-06-29 00:00:00;228.74068
2026-06-29 01:00:00;213.29771
2026-06-29 02:00:00;204.298
2026-06-29 03:00:00;202.46103
2026-06-29 04:00:00;201.95067
2026-06-29 05:00:00;206.14249
2026-06-29 06:00:00;224.4777
2026-06-29 07:00:00;250.83592
2026-06-29 08:00:00;277.49442
2026-06-29 09:00:00;287.66745
2026-06-29 10:00:00;292.88776
2026-06-29 11:00:00;291.8496
2026-06-29 12:00:00;286.93146
2026-06-29 13:00:00;288.54654
2026-06-29 14:00:00;286.90552
2026-06-29 15:00:00;285.2783
2026-06-29 16:00:00;278.4603
2026-06-29 17:00:00;270.38013
2026-06-29 18:00:00;266.15854
2026-06-29 19:00:00;259.68356
2026-06-29 20:00:00;255.39006
2026-06-29 21:00:00;255.73586
2026-06-29 22:00:00;255.62022
2026-06-29 23:00:00;250.80386
2026-06-30 00:00:00;232.26118
